,questions,answers,labels,confidence,labels_by_rougeL,max_rouge_score,s1,s2
10,Why do things only burn in high atmosphere?,The main reason is that the air in the atmosphere is mostly nitrogen and oxygen. The nitrogen and oxygen are very stable molecules and they do not react with each other easily. The nitrogen and oxygen in the atmosphere are also the main components of the atmosphere. The reason they are the main components is because they are the stable molecules. The air in the atmosphere is mostly nitrogen and oxygen because they are the stable molecules. The nitrogen and oxygen in the atmosphere are also the main components of the atmosphere because they are the stable molecules.  The other reason is that the temperature of the atmosphere is relatively low. The temperature of the atmosphere is also relatively low. The nitrogen and oxygen in the atmosphere are also the main components of the atmosphere because they are the stable molecules. The nitrogen and oxygen in the atmosphere are also the main components of the atmosphere because they are the stable molecules. The temperature of the atmosphere is also relatively low. The nitrogen and oxygen in the atmosphere are also the main components of the atmosphere because they are the stable molecules.,0,1.0,0,1.0,The nitrogen and oxygen in the atmosphere are also the main components of the atmosphere because they are the stable molecules,The nitrogen and oxygen in the atmosphere are also the main components of the atmosphere because they are the stable molecules
11,How were Genghis Khan and the Mongols perceived in Chinese historiography?,"The Chinese view of the Mongols is a little complicated, but the short answer is that they are not really viewed as a ""civilization"" in the same way as the Chinese did. The Mongols were seen as a ""barbarian"" force, and were often referred to as ""barbarians"" (, gāng). The Chinese were wary of the Mongols, but they were not particularly afraid of them. The Mongols were not the same as the ""barbarians"" of the previous era, but they were not the same as the ""barbarians"" of the next era. They were a ""barbarian"" force, but they were not the same as the ""barbarians"" of the previous era, and they were not the same as the ""barbarians"" of the next era.",0,0.999,0,0.923,"but they were not the same as the ""barbarians"" of the next era","but they were not the same as the ""barbarians"" of the previous era"
12,"With clothes that are years old, when they go through the dryer...there is always a huge amount of lint in the dryer trap. Where does the lint keep coming from since the clothes / towels don't ""seem"" to be disintegrating?","Mostly it's from the clothes that are washed and then dried.  The lint is just the small fibers that are left in the wash water. They're not really broken down into a usable form. They're just like a bunch of tiny hairs that are floating in the water.  The fibers in the clothes are broken down by the wash water, and the lint is left behind.  The lint is the same stuff that comes out of the washing machine, but it's just a bunch of tiny fibers that have been left behind.",1,0.995,1,0.519,The lint is just the small fibers that are left in the wash water,The lint is the same stuff that comes out of the washing machine
13,What is speaking in tongues?,"It's the belief that when you pray, you are communicating with God in a language that we cannot understand. This is not a scientifically supported belief, but it's a belief that many people have. It's not necessarily a belief that they're hearing a voice in their head. It's just a belief that they're communicating with God. Some people also believe that speaking in tongues is a way of expressing a deeper, more spiritual feeling. It's not necessarily a way of expressing a deeper feeling, but it's a way of expressing a feeling that is deeper than what you can express in your everyday language. It's a way of expressing a feeling that is deeper than your everyday language. It's not necessarily a way of expressing a deeper feeling. It's just a way of expressing a feeling. It's not necessarily a way of expressing a deeper feeling. It's just a way of expressing a feeling. It's not necessarily a way of expressing a deeper feeling. It's just a way of expressing a feeling. It's not necessarily a way of expressing a deeper feeling. It's just a way of expressing a feeling. It's not necessarily a way of expressing a deeper feeling. It's just a way of expressing a feeling.",0,1.0,0,1.0,It's not necessarily a way of expressing a deeper feeling,It's not necessarily a way of expressing a deeper feeling
14,"why do some of the superhero movies keep repeating the same villains - superman/luthor, batman/joker, spiderman/oscorp?","The most common reason is that there's a certain kind of audience that really enjoys the same villains. Batman, Spiderman, and Superman are all very popular, so it's not uncommon to see them in a movie. This is why you'll often see them in the same movie, or in the same movie with other characters that are also popular.  The other reason is that these movies are all really good, and you want to see them again. You're a fan, so you want to see them again. If you don't like the movie, you might not go see it again, but if you like it, you'll go see it again.  This is why you'll often see the same movies, and why they're all so popular.",0,0.999,0,0.909,This is why you'll often see them in the same movie,This is why you'll often see the same movies
15,Why can we smell food more easily when the food is hot?,"Smelling food is more of a sensation than a smell, it's just your nose detecting molecules. When you smell something, it's because you have receptors in your nose that can detect the molecules. When the molecules are hot, they are moving around more quickly, so your nose can detect them more easily.  The hot food is also more volatile, so it's more likely that it will be able to escape your nose and into your lungs. This is why you can smell food even if it's cold, but you can't smell it if it's frozen.",1,0.995,1,0.571,it's just your nose detecting molecules,it's because you have receptors in your nose that can detect the molecules
16,"How were unidentified dead bodies handled in olden times, before refrigerated morgues?","There are a lot of different things that people would have done in the case of a death, depending on the culture. In Europe, for example, a lot of people would have been buried in a church or chapel, especially if they were wealthy. In the case of a poor person, they might have been buried in a common grave. In the case of a noble person, they might have been buried in a palace, or in a cemetery that was owned by the family. In the case of a noble person, they might have been buried in a cathedral, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church. In the case of a commoner, they might have been buried in a common cemetery, or in a cemetery that was owned by the church.",0,1.0,0,1.0,In the case of a noble person,In the case of a noble person
17,How are criminals able to make fake yet usable identities and passports to get around (onto airplanes etc.)?,"It's not that difficult. The first thing you need is a passport. A passport is a document that shows you're a citizen of the country you're traveling in. It's also a document that shows you have the right to travel in that country. The passport is also a document that shows you have a name that you're using. So, for example, if you have a fake passport that says your name is ""John Smith"", then you're a citizen of the country you're traveling in, you have the right to travel in that country, and you have the right to travel under the name ""John Smith"". So, if you want to fly to Paris, you can go to the airport and show your passport and your fake name, and they'll accept it.",0,1.0,0,0.733,A passport is a document that shows you're a citizen of the country you're traveling in,then you're a citizen of the country you're traveling in
18,What were economists' reaction when Reagan outlined his trickle-down economics tax plan?,"I would like to point out that this question is a bit vague.  ""Economists"" is a broad term, and it could mean anything.  Economists are people who study the economy. They are interested in the causes of economic phenomena, and they are interested in the effects of economic phenomena.  There is no one economist, and certainly no one economist who agrees with Reagan's plan.  Reagan's plan was a political manifesto. It was a plan for the Republican Party, and it was intended to help the Republican Party win the election.  Economists are not political scientists, and they do not have the same level of expertise as political scientists.  Economists are not interested in politics, and they are not interested in political science. They are interested in economics.",0,0.999,0,0.842,They are interested in the causes of economic phenomena,and they are interested in the effects of economic phenomena
19,Why are you not allowed to donate blood for about a week and a half after taking antibiotic medication?,"You can donate blood for a short time after taking antibiotics, but you should wait at least 7 days.  Why? Because the antibiotics are interfering with your immune system. Your immune system is responsible for fighting off infections, and the antibiotics are interfering with it. If you take antibiotics for too long, your immune system will be weakened, making it harder for your body to fight off the infection. If you take antibiotics for too long, you may develop a condition called ""blood dyscrasia"". This is a condition where your blood is abnormal, and you will have difficulty producing enough red blood cells.  If you take antibiotics for too long, you may also develop a condition called ""blood clotting"". This is where your blood gets too thick, and it is harder for your blood to clot. If you take antibiotics for too long, you may develop a condition called ""blood clots"". This is where your blood gets stuck in the blood vessels, and it is harder for your blood to flow through the body.",0,1.0,0,1.0,If you take antibiotics for too long,If you take antibiotics for too long
20,Do planets all orbit the sun on the same plane as models seem to suggest?,"[Here's a plot of the orbital planes of the planets]. The orbits are not strictly in a plane, but the orbits are close enough to be considered as being in a plane. This is because the orbits are not very elliptical, and the planets are all in the same plane. The orbits of the planets are also not strictly parallel to the equator, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are also not strictly parallel to the ecliptic, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly in a plane, but the orbits are close enough to be considered as being in a plane. The orbits are not strictly parallel to the equator, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly parallel to the ecliptic, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly in a plane, but the orbits are close enough to be considered as being in a plane. The orbits are not strictly parallel to the equator, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly parallel to the ecliptic, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly in a plane, but the orbits are close enough to be considered as being in a plane. The orbits are not strictly parallel to the equator, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly parallel to the ecliptic, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly in a plane, but the orbits are close enough to be considered as being in a plane. The orbits are not strictly parallel to the equator, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbits are not strictly parallel to the ecliptic, but that's not a problem. The orbits are close enough to be considered as being in the same plane. The orbi",0,1.0,0,1.0,The orbits are not strictly in a plane,The orbits are not strictly in a plane
21,How likely is it that I could discover a new species of bacteria right in my neighborhood?,"It depends on a number of factors. First, the most common bacteria are found in soil, water, and the air. There are some bacteria that live in the guts of animals. The bacteria you would find in your neighborhood are probably the same as the bacteria in your gut. That is because the bacteria in your gut are the ones that are living in your intestines, so they are probably the ones you would find in your neighborhood. Second, the bacteria you would find in your neighborhood are probably the same as the bacteria that you encounter in your daily life. You probably don't have to go to the forest to find bacteria, you probably don't have to go to the ocean to find bacteria. You probably just need to go to your own backyard, and you probably have a lot of bacteria living in your own backyard.",0,1.0,0,0.923,You probably don't have to go to the forest to find bacteria,you probably don't have to go to the ocean to find bacteria
22,Why isn't philosophy taught in most public schools?,Because schools are not meant to teach you anything. They are meant to teach you how to get a job. They are meant to teach you how to pass a test. They are meant to teach you how to get a college degree. They are meant to teach you how to pass the bar. They are meant to teach you how to get a job. They are not meant to teach you how to think. They are not meant to teach you how to learn. They are not meant to teach you how to be a person.  Philosophy is a way to think. It is a way to learn. It is a way to get a college degree. It is a way to get a job. It is a way to pass a test. It is a way to get a college degree. It is a way to get a job. It is a way to get a college degree. It is a way to get a job. It is a way to get a college degree. It is a way to get a job. It is a way to get a college degree. It is a way to get a job. It is a way to get a college degree. It is a way to get a job. It is a way to get a college degree. It is a way to get a job. It is a way to get a college degree. It is a way to get a job.,0,1.0,0,1.0,They are meant to teach you how to get a job,They are meant to teach you how to get a job
23,"Why would someone have an ""Out of body experience"" after being seriously injured?","I'm not sure I understand your question. The question is ""why would someone have an out of body experience after being seriously injured"". I would say that the body is very good at hiding the source of pain. A person with a serious injury will feel pain in the affected area. But when they go to the hospital, they are told that they are in a coma. This is because the body is not aware of the damage that the person is experiencing.  So when the body is unable to process the information, it does not send the pain signals to the brain. Instead, the brain gets the information that the person is in a coma and it thinks that the person is dead.  The brain then sends the brain signals to the body to think that the person is dead. The body responds by pulling the person's head up and putting them in a position where they are not aware of the pain.",1,0.993,1,0.541,the brain gets the information that the person is in a coma and it thinks that the person is dead,The brain then sends the brain signals to the body to think that the person is dead
24,Why do my cats wait to eat until I'm near their food bowls?,"Because they're hungry. Cats don't eat when they're full. They eat when they're hungry. You have to be careful not to feed them when they're not hungry. Cats don't like it when they're fed when they're not hungry, so they'll wait for you to come to them so they can eat.  Also, they're waiting for you to come to them so they can eat. They're not waiting for you to come to them so they can eat because they're hungry. They're waiting for you to come to them so they can eat because they're hungry.",0,1.0,0,0.971,They're not waiting for you to come to them so they can eat because they're hungry,They're waiting for you to come to them so they can eat because they're hungry
25,"How viable was an Umayyad occupation of France, even if Charles Martel had lost the Battle of Tours?","Charles Martel is not the only one who was able to capture a portion of the Umayyad Empire. The Umayyads had already conquered most of the Mediterranean world, and were able to make a fairly significant portion of it. In the year 655, the Umayyads captured the city of Larnaca, which was a major port city in the eastern Mediterranean. This was a major blow to the Byzantine Empire, which was already in trouble. The Byzantines were able to regain control of Larnaca in 674, but the Umayyads were able to capture the city again in 678. The Umayyads were able to make significant gains in the Mediterranean world, and the Byzantines were able to regroup.",1,0.995,1,0.556,The Byzantines were able to regain control of Larnaca in 674,and the Byzantines were able to regroup
26,how can public schools and universities in the US have time off for select religious holidays? Doesn't it violate separation of church and state?,"The Supreme Court ruled that schools and universities have the right to allow religious holidays to be observed, but they cannot make it mandatory. They can't just tell you that you have to go to church on Monday, but they can't tell you that you have to go to church on Tuesday.  The reason for this is that you can't force someone to go to church. You can't make someone go to church if they don't want to. You can't make someone go to church if they are busy. You can't make someone go to church if they don't have the time.  But you can make someone go to church if they want to. You can't make someone go to church if they don't want to.  This is why some people say that schools and universities are not religious institutions, but rather government institutions. They have the right to observe holidays, but they can't force others to observe them. They can't make them go to church, but they can make them go to school.",0,1.0,0,1.0,You can't make someone go to church if they don't want to,You can't make someone go to church if they don't want to
27,Why do we talk to ourselves out loud?,"I think it's because we are talking to ourselves in order to make sure we are talking to ourselves, not to others. We can't hear ourselves, so we have to talk to ourselves in order to make sure we are talking to ourselves.  It's also important to remember that we are talking to ourselves because we are the only one who can hear us. We can't hear ourselves when we're talking to others, so we have to talk to ourselves in order to make sure we are talking to ourselves.  I think it's also because we can't hear ourselves when we're talking to others, so we have to talk to ourselves in order to make sure we are talking to ourselves.",0,1.0,0,1.0,so we have to talk to ourselves in order to make sure we are talking to ourselves,so we have to talk to ourselves in order to make sure we are talking to ourselves
28,Are there examples of Brits calling Americans terrorists (or equivalent) during the American Revolutionary War?,"I'm not sure if this is the specific example you're looking for, but I found a similar question in the past: [Why were the American colonists called terrorists?] The short answer is that the colonists were called terrorists because the British colonists were called patriots. This is not to say that the colonists were not terrorists, but rather that the British colonists were the ones who were considered terrorists.<|eot_id|",1,0.996,1,0.429,] The short answer is that the colonists were called terrorists because the British colonists were called patriots,This is not to say that the colonists were not terrorists
29,"Why, regardless of actual room temperature, am I so hot trying to go to sleep VS it being so cold when I'm trying to wake up?","The air you breathe is warmed by your body. When you sleep, your body is in a state of ""parasol"", meaning that it is shielded from the heat of the room. When you wake up, the air you breathe is no longer shielded from the heat of the room, and your body has to work to cool you down. When you are hot, you can't cool down very well, so you feel like you are burning. When you are cold, you can cool down very well, so you feel like you are warm. So when you wake up, you feel like you are burning, because you can't cool down as well as you did when you were sleeping.",0,1.0,0,0.923,you can't cool down very well,you can cool down very well
30,Average day for someone convicted of Murder 1 and sentenced to life without parole,"You're not going to get the answer you're looking for, but I'll try. I'm going to go out on a limb here and say that there are no laws against the death penalty. As long as the law is constitutional, the death penalty is legal. There are a few reasons for this. First, if you are convicted of murder and sentenced to life without parole, you will be eligible for parole after 20 years. If you were to be executed, you would never be eligible for parole. Second, if you are convicted of murder and sentenced to life without parole, the judge will also decide whether or not you should be eligible for parole. If you are eligible for parole, you will be released from prison. If you are not eligible for parole, you will die. Third, there are laws against the death penalty. If you are convicted of murder and sentenced to life without parole, the judge will also decide whether or not to uphold the death penalty laws. If the judge upholds the death penalty laws, you will be executed. If the judge does not uphold the death penalty laws, you will die.",0,1.0,0,1.0,if you are convicted of murder and sentenced to life without parole,if you are convicted of murder and sentenced to life without parole
31,"Newton's Law: If a spaceship is moving in a vacuum, uses the chemical energy of half the fuel to accellerate (Kinetic energy), then the other half to brake aka accellerate in the opposite direction, where is this energy now?","This is the [Lorentz force]. It is a force that acts on the spaceship, and it is not a force that is present in the vacuum. This is because the spaceship is moving at a speed that is not zero, and it is not in a vacuum. The spaceship is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. The spaceship is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. The spaceship is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is moving at a speed that is not zero, and it is not in a vacuum. It is mo",0,1.0,0,1.0,and it is not in a vacuum,and it is not in a vacuum
32,"If gravity is the effect of space-time being stretched, wouldn't an object's angular momentum generate gravitational effects?","> I'm guessing that the angular momentum of an object would generate a gravitational effect, because angular momentum is a vector quantity. It does, but it's not exactly what you think it is. The object will generate a gravitational field, but it's not just the angular momentum that does this. The angular momentum of a rotating object generates a gravitational field, and this is what we call the [gravitomagnetic effect]. The angular momentum of a non-rotating object doesn't generate a gravitational field. In fact, the gravitational field generated by a non-rotating object is zero. So, to answer your question, no, an object's angular momentum does not generate a gravitational field.<|eot_id|",1,0.99,0,0.88,The angular momentum of a rotating object generates a gravitational field,The angular momentum of a non-rotating object doesn't generate a gravitational field
33,Why do we have fingernails?,"We don't. The nails we have are actually called ""phalanges"", and they are the long, thin bones in the fingers and toes. The phalanges are a result of our ancestors having the ability to grasp things, such as rocks, and holding onto them with their nails. It's not that we have nails, it's that our nails are actually the remnants of our ancestors' nails.  It's also worth noting that we don't have fingernails, we have fingernails.  I've been a dentist for 20 years, and I've never had to deal with fingernails, so I can tell you that the nails on our hands are actually very important. If they were gone, we would have to rely on the other parts of our hands to hold onto things, and that would be a big problem.",1,0.995,1,0.556,It's not that we have nails,It's also worth noting that we don't have fingernails
34,How does the nuclear missle defence work?,"The missiles are equipped with a small nuclear warhead. The warhead is placed on the nose of the missile, and is surrounded by a shield. The missile is equipped with a countermeasures system. The missile uses a radar to detect incoming missiles. The radar is equipped with a countermeasures system. The countermeasures system detects incoming missiles, and fires a missile that has a similar radar. The countermeasures missile is equipped with a nuclear warhead. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures system detects incoming missiles, and fires a countermeasures missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile. The countermeasures missile has a nuclear warhead, and is equipped with a countermeasures system. The countermeasures missile is fired at the incoming missile.",0,1.0,0,1.0,The countermeasures system detects incoming missiles,The countermeasures system detects incoming missiles
35,How come humans get grossed out by odors while animals don't?,"Humans get grossed out by odors because our brains are designed to be sensitive to smells. Smells are a very important part of our survival. They are used to locate food, to avoid predators, to find mates, etc. Smells are also used to warn us of danger.  Animals do not have the same level of smell sensitivity.  Smell is a very important part of our survival, but it's not necessary for all species. Some animals do not have the necessary smell sensitivity, but they still have other senses that help them survive.  For example, many birds are able to fly, but they cannot smell.  Many animals are able to run, but they cannot smell.  Many animals are able to swim, but they cannot smell.  So, when animals are able to smell, they are able to find food and avoid danger, but when humans are able to smell, we are able to find food and avoid danger.",0,0.999,0,1.0,but they cannot smell,but they cannot smell
